Ambito,Area,Elemento,Producto,Año,Unidad,Valor
Totales de las emisiones,Andorra,Emisiones (CH4),On-farm energy use,2020,mil toneladas,0.0042
Totales de las emisiones,Andorra,Emisiones (N2O),On-farm energy use,2020,mil toneladas,0.0176
Totales de las emisiones,Andorra,Emisiones (CO2),On-farm energy use,2020,mil toneladas,47.0655
Totales de las emisiones,Andorra,Emisiones (CO2),Tierras forestales,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CO2),Conversión neta de bosques,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CH4),Incendios de sabana,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (N2O),Incendios de sabana,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CH4),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CO2),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CH4),Incendios forestales,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (N2O),Incendios forestales,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CH4),Incendios en los bosques tropicales húmedos,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (N2O),Incendios en los bosques tropicales húmedos,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CH4),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,0.4919
Totales de las emisiones,Andorra,Emisiones (CO2),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,2.2036
Totales de las emisiones,Andorra,Emisiones (CH4),Consumo de alimentos en los hogares,2020,mil toneladas,0.0001
Totales de las emisiones,Andorra,Emisiones (N2O),Consumo de alimentos en los hogares,2020,mil toneladas,0.0
Totales de las emisiones,Andorra,Emisiones (CO2),Consumo de alimentos en los hogares,2020,mil toneladas,1.6877
Totales de las emisiones,Andorra,Emisiones (CH4),Transformación de alimentos,2020,mil toneladas,0.0033
Totales de las emisiones,Andorra,Emisiones (N2O),Transformación de alimentos,2020,mil toneladas,0.0018
Totales de las emisiones,Andorra,Emisiones (CO2),Transformación de alimentos,2020,mil toneladas,27.8721
Totales de las emisiones,Andorra,Emisiones (CH4),Energía,2020,mil toneladas,0.314
Totales de las emisiones,Andorra,Emisiones (N2O),Energía,2020,mil toneladas,0.0129
Totales de las emisiones,Andorra,Emisiones (CO2),Energía,2020,mil toneladas,429.0
Totales de las emisiones,Andorra,Emisiones (CH4),IPPU,2020,mil toneladas,0.0022
Totales de las emisiones,Andorra,Emisiones (N2O),IPPU,2020,mil toneladas,0.0055
Totales de las emisiones,Andorra,Emisiones (CO2),IPPU,2020,mil toneladas,16.2
Totales de las emisiones,Andorra,Emisiones (CH4),Desechos,2020,mil toneladas,0.823
Totales de las emisiones,Andorra,Emisiones (N2O),Desechos,2020,mil toneladas,0.0075
Totales de las emisiones,Andorra,Emisiones (CO2),Desechos,2020,mil toneladas,2.4
Totales de las emisiones,Andorra,Emisiones (N2O),Otro,2020,mil toneladas,0.0031
Totales de las emisiones,Angola,Emisiones (N2O),Residuos agrícolas,2020,mil toneladas,0.8101
Totales de las emisiones,Angola,Emisiones (CH4),Cultivo del arroz,2020,mil toneladas,2.3587
Totales de las emisiones,Angola,Emisiones (CH4),Quemado de residuos agrícolas,2020,mil toneladas,5.7982
Totales de las emisiones,Angola,Emisiones (N2O),Quemado de residuos agrícolas,2020,mil toneladas,0.1503
Totales de las emisiones,Angola,Emisiones (CH4),Fermentación entérica,2020,mil toneladas,198.5589
Totales de las emisiones,Angola,Emisiones (CH4),Gestión del estiércol,2020,mil toneladas,10.7883
Totales de las emisiones,Angola,Emisiones (N2O),Gestión del estiércol,2020,mil toneladas,1.7559
Totales de las emisiones,Angola,Emisiones (N2O),Estiércol depositado en las pasturas,2020,mil toneladas,10.1287
Totales de las emisiones,Angola,Emisiones (N2O),Estiércol aplicado a los suelos,2020,mil toneladas,1.4148
Totales de las emisiones,Angola,Emisiones (N2O),Fertilizantes sintéticos,2020,mil toneladas,0.4972
Totales de las emisiones,Angola,Emisiones (CO2),Suelos orgánicos drenados (CO2),2020,mil toneladas,316.1237
Totales de las emisiones,Angola,Emisiones (N2O),Suelos orgánicos drenados (N2O),2020,mil toneladas,0.0517
Totales de las emisiones,Angola,Emisiones (CH4),On-farm energy use,2020,mil toneladas,0.0018
Totales de las emisiones,Angola,Emisiones (N2O),On-farm energy use,2020,mil toneladas,0.0121
Totales de las emisiones,Angola,Emisiones (CO2),On-farm energy use,2020,mil toneladas,31.3946
Totales de las emisiones,Angola,Emisiones (CO2),Tierras forestales,2020,mil toneladas,0.0
Totales de las emisiones,Angola,Emisiones (CO2),Conversión neta de bosques,2020,mil toneladas,35168.7283
Totales de las emisiones,Angola,Emisiones (CH4),Incendios de sabana,2020,mil toneladas,464.5023
Totales de las emisiones,Angola,Emisiones (N2O),Incendios de sabana,2020,mil toneladas,42.4111
Totales de las emisiones,Angola,Emisiones (CH4),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Angola,Emisiones (CO2),Incendios en suelos de turba,2020,mil toneladas,0.0
Totales de las emisiones,Angola,Emisiones (CH4),Incendios forestales,2020,mil toneladas,251.7417
Totales de las emisiones,Angola,Emisiones (N2O),Incendios forestales,2020,mil toneladas,22.9851
Totales de las emisiones,Angola,Emisiones (CH4),Incendios en los bosques tropicales húmedos,2020,mil toneladas,244.0422
Totales de las emisiones,Angola,Emisiones (N2O),Incendios en los bosques tropicales húmedos,2020,mil toneladas,22.2821
Totales de las emisiones,Angola,Emisiones (CH4),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,90.7716
Totales de las emisiones,Angola,Emisiones (N2O),Eliminación de desechos de sistemas agroalimentarios,2020,mil toneladas,0.6188
Totales de las emisiones,Angola,Emisiones (CH4),Fabricación de pesticidas,2020,mil toneladas,0.0
Totales de las emisiones,Angola,Emisiones (N2O),Fabricación de pesticidas,2020,mil toneladas,0.0
Totales de las emisiones,Angola,Emisiones (CO2),Fabricación de pesticidas,2020,mil toneladas,1.0
Totales de las emisiones,Angola,Emisiones (CH4),Envasado alimentario,2020,mil toneladas,0.0037
Totales de las emisiones,Angola,Emisiones (N2O),Envasado alimentario,2020,mil toneladas,0.0007
Totales de las emisiones,Angola,Emisiones (CO2),Envasado alimentario,2020,mil toneladas,96.0602
Totales de las emisiones,Angola,Emisiones (CH4),Venta de alimentos,2020,mil toneladas,0.0078
Totales de las emisiones,Angola,Emisiones (N2O),Venta de alimentos,2020,mil toneladas,0.0015
Totales de las emisiones,Angola,Emisiones (CO2),Venta de alimentos,2020,mil toneladas,196.5277
Totales de las emisiones,Angola,Emisiones (CH4),Consumo de alimentos en los hogares,2020,mil toneladas,0.0819
Totales de las emisiones,Angola,Emisiones (N2O),Consumo de alimentos en los hogares,2020,mil toneladas,0.0053
Totales de las emisiones,Angola,Emisiones (CO2),Consumo de alimentos en los hogares,2020,mil toneladas,1323.0557
Totales de las emisiones,Angola,Emisiones (CH4),Transformación de alimentos,2020,mil toneladas,0.0921
Totales de las emisiones,Angola,Emisiones (N2O),Transformación de alimentos,2020,mil toneladas,0.042
